hour,t(sec),Tap(pu),Type,Name
433,0.0,1.0,Capacitor,moncapacitor-cap1
434,0.0,1.0,Capacitor,moncapacitor-cap1
435,0.0,1.0,Capacitor,moncapacitor-cap1
436,0.0,1.0,Capacitor,moncapacitor-cap1
437,0.0,1.0,Capacitor,moncapacitor-cap1
438,0.0,1.0,Capacitor,moncapacitor-cap1
439,0.0,1.0,Capacitor,moncapacitor-cap1
440,0.0,1.0,Capacitor,moncapacitor-cap1
441,0.0,1.0,Capacitor,moncapacitor-cap1
442,0.0,1.0,Capacitor,moncapacitor-cap1
443,0.0,1.0,Capacitor,moncapacitor-cap1
444,0.0,1.0,Capacitor,moncapacitor-cap1
445,0.0,1.0,Capacitor,moncapacitor-cap1
446,0.0,1.0,Capacitor,moncapacitor-cap1
447,0.0,1.0,Capacitor,moncapacitor-cap1
448,0.0,1.0,Capacitor,moncapacitor-cap1
449,0.0,1.0,Capacitor,moncapacitor-cap1
450,0.0,1.0,Capacitor,moncapacitor-cap1
451,0.0,1.0,Capacitor,moncapacitor-cap1
452,0.0,1.0,Capacitor,moncapacitor-cap1
453,0.0,1.0,Capacitor,moncapacitor-cap1
454,0.0,1.0,Capacitor,moncapacitor-cap1
455,0.0,1.0,Capacitor,moncapacitor-cap1
456,0.0,1.0,Capacitor,moncapacitor-cap1
457,0.0,1.0,Capacitor,moncapacitor-cap1
458,0.0,1.0,Capacitor,moncapacitor-cap1
459,0.0,1.0,Capacitor,moncapacitor-cap1
460,0.0,1.0,Capacitor,moncapacitor-cap1
461,0.0,1.0,Capacitor,moncapacitor-cap1
462,0.0,1.0,Capacitor,moncapacitor-cap1
463,0.0,1.0,Capacitor,moncapacitor-cap1
464,0.0,1.0,Capacitor,moncapacitor-cap1
465,0.0,1.0,Capacitor,moncapacitor-cap1
466,0.0,1.0,Capacitor,moncapacitor-cap1
467,0.0,1.0,Capacitor,moncapacitor-cap1
468,0.0,1.0,Capacitor,moncapacitor-cap1
469,0.0,1.0,Capacitor,moncapacitor-cap1
470,0.0,1.0,Capacitor,moncapacitor-cap1
471,0.0,1.0,Capacitor,moncapacitor-cap1
472,0.0,1.0,Capacitor,moncapacitor-cap1
473,0.0,1.0,Capacitor,moncapacitor-cap1
474,0.0,1.0,Capacitor,moncapacitor-cap1
475,0.0,1.0,Capacitor,moncapacitor-cap1
476,0.0,1.0,Capacitor,moncapacitor-cap1
477,0.0,1.0,Capacitor,moncapacitor-cap1
478,0.0,1.0,Capacitor,moncapacitor-cap1
479,0.0,1.0,Capacitor,moncapacitor-cap1
480,0.0,1.0,Capacitor,moncapacitor-cap1
1,0.0,1.0,Capacitor,moncapacitor-cap2
2,0.0,1.0,Capacitor,moncapacitor-cap2
3,0.0,1.0,Capacitor,moncapacitor-cap2
4,0.0,1.0,Capacitor,moncapacitor-cap2
5,0.0,1.0,Capacitor,moncapacitor-cap2
6,0.0,1.0,Capacitor,moncapacitor-cap2
7,0.0,1.0,Capacitor,moncapacitor-cap2
8,0.0,1.0,Capacitor,moncapacitor-cap2
9,0.0,1.0,Capacitor,moncapacitor-cap2
10,0.0,1.0,Capacitor,moncapacitor-cap2
11,0.0,1.0,Capacitor,moncapacitor-cap2
12,0.0,1.0,Capacitor,moncapacitor-cap2
13,0.0,1.0,Capacitor,moncapacitor-cap2
14,0.0,1.0,Capacitor,moncapacitor-cap2
15,0.0,1.0,Capacitor,moncapacitor-cap2
16,0.0,1.0,Capacitor,moncapacitor-cap2
17,0.0,1.0,Capacitor,moncapacitor-cap2
18,0.0,1.0,Capacitor,moncapacitor-cap2
19,0.0,1.0,Capacitor,moncapacitor-cap2
20,0.0,1.0,Capacitor,moncapacitor-cap2
21,0.0,1.0,Capacitor,moncapacitor-cap2
22,0.0,1.0,Capacitor,moncapacitor-cap2
23,0.0,1.0,Capacitor,moncapacitor-cap2
24,0.0,1.0,Capacitor,moncapacitor-cap2
25,0.0,1.0,Capacitor,moncapacitor-cap2
26,0.0,1.0,Capacitor,moncapacitor-cap2
27,0.0,1.0,Capacitor,moncapacitor-cap2
28,0.0,1.0,Capacitor,moncapacitor-cap2
29,0.0,1.0,Capacitor,moncapacitor-cap2
30,0.0,1.0,Capacitor,moncapacitor-cap2
31,0.0,1.0,Capacitor,moncapacitor-cap2
32,0.0,1.0,Capacitor,moncapacitor-cap2
33,0.0,1.0,Capacitor,moncapacitor-cap2
