hour,671_hospital,634a_supermarket,634b_supermarket,634c_supermarket,645_warehouse1,646_med_office,692_warehouse2,675a_residential1,675b_residential1,675c_residential1,611_hotel,652_med_apartment,670a_residential2,670b_residential2,670c_residential2
131,627.355,114.4116667,114.4116667,38.13722222,92.66633333,180.161,92.66633333,186.1211084,27.91816626,111.672665,195.879,78.2569,9.30605542,37.22422168,74.44844336
132,628.759,120.991,120.991,40.33033333,92.91733333,186.4623333,92.91733333,202.1033993,30.3155099,121.2620396,199.621,84.97685,10.10516997,40.42067986,80.84135972
133,609.094,121.585,121.585,40.52833333,84.83566667,187.6816667,84.83566667,210.9337996,31.64006994,126.5602798,203.211,88.6897,10.54668998,42.18675992,84.37351984
134,626.225,122.5433333,122.5433333,40.84777778,95.202,193.7726667,95.202,215.7191282,32.35786923,129.4314769,206.122,90.70175,10.78595641,43.14382564,86.28765128
135,627.28,119.408,119.408,39.80266667,95.131,189.2453333,95.131,210.8653036,31.62979554,126.5191822,204.572,88.6609,10.54326518,42.17306072,84.34612144
136,627.965,117.0553333,117.0553333,39.01844444,94.51133333,186.617,94.51133333,205.4350896,30.81526344,123.2610538,198.097,86.3777,10.27175448,41.08701792,82.17403584
137,631.814,115.377,115.377,38.459,92.98533333,184.1273333,92.98533333,207.0665083,31.05997625,124.239905,193.532,87.06365,10.35332542,41.41330166,82.82660332
138,636.95,116.186,116.186,38.72866667,37.53466667,167.712,37.53466667,207.3991185,31.10986778,124.4394711,219.307,87.2035,10.36995593,41.4798237,82.9596474
139,481.661,111.2656667,111.2656667,37.08855556,32.89233333,132.129,32.89233333,221.2977503,33.19466255,132.7786502,255.486,93.04735,11.06488752,44.25955006,88.51910012
140,477.867,104.9673333,104.9673333,34.98911111,32.89233333,130.215,32.89233333,212.1415181,31.82122772,127.2849109,269.292,89.1975,10.60707591,42.42830362,84.85660724
141,396.832,96.06633333,96.06633333,32.02211111,32.89233333,113.2856667,32.89233333,211.1893517,31.67840276,126.713611,292.348,88.79715,10.55946759,42.23787034,84.47574068
142,378.016,63.71933333,63.71933333,21.23977778,32.89233333,106.6653333,32.89233333,158.0187044,23.70280566,94.81122264,264.097,66.4409,7.90093522,31.60374088,63.20748176
143,324.045,42.03,42.03,14.01,32.89233333,40.896,32.89233333,106.0774184,15.91161276,63.64645104,189.579,44.60155,5.30387092,21.21548368,42.43096736
144,324.514,51.281,51.281,17.09366667,32.89233333,37.28666667,32.89233333,81.53799776,12.23069966,48.92279866,129.424,34.28365,4.076899888,16.30759955,32.6151991
145,319.726,43.42366667,43.42366667,14.47455556,32.89233333,32.68833333,32.89233333,67.69442441,10.15416366,40.61665465,118.163,28.46295,3.384721221,13.53888488,27.07776976
146,323.055,40.39333333,40.39333333,13.46444444,32.89233333,32.68833333,32.89233333,65.39885566,9.809828349,39.2393134,116.123,27.49775,3.269942783,13.07977113,26.15954226
147,324.177,40.33133333,40.33133333,13.44377778,32.89233333,32.68833333,32.89233333,64.44728391,9.667092587,38.66837035,99.678,27.09765,3.222364196,12.88945678,25.77891356
148,323.772,40.29433333,40.29433333,13.43144444,32.89233333,32.68833333,32.89233333,64.09053369,9.613580054,38.45432021,97.915,26.94765,3.204526685,12.81810674,25.63621348
149,338.183,42.70566667,42.70566667,14.23522222,32.89233333,32.68833333,32.89233333,71.88112607,10.78216891,43.12867564,99.378,30.2233,3.594056304,14.37622521,28.75245043
150,337.091,42.53066667,42.53066667,14.17688889,32.89233333,32.68833333,32.89233333,88.68394249,13.30259137,53.21036549,106.29,37.28825,4.434197125,17.7367885,35.473577
151,382.193,54.84233333,54.84233333,18.28077778,32.89233333,99.029,32.89233333,108.2809456,16.24214184,64.96856736,156.742,45.52805,5.41404728,21.65618912,43.31237824
152,448.097,54.90633333,54.90633333,18.30211111,23.49133333,85.76066667,23.49133333,98.61896044,14.79284407,59.17137626,166.437,41.46555,4.930948022,19.72379209,39.44758418
153,444.568,77.718,77.718,25.906,21.72566667,108.8946667,21.72566667,86.62846665,12.99427,51.97707999,232.832,36.424,4.331423333,17.32569333,34.65138666
154,501.295,90.17266667,90.17266667,30.05755556,35.83933333,106.6226667,35.83933333,77.15627265,11.5734409,46.29376359,207.65,32.4413,3.857813633,15.43125453,30.86250906
155,504.546,102.3833333,102.3833333,34.12777778,35.83933333,100.384,35.83933333,79.27988779,11.89198317,47.56793267,162.653,33.3342,3.96399439,15.85597756,31.71195512
156,504.838,110.8436667,110.8436667,36.94788889,35.83933333,101.7773333,35.83933333,90.87486451,13.63122968,54.52491871,160.226,38.20945,4.543743226,18.1749729,36.3499458
157,489.408,107.5403333,107.5403333,35.84677778,19.533,101.8143333,19.533,99.37420066,14.9061301,59.6245204,163.729,41.7831,4.968710033,19.87484013,39.74968026
158,486.179,107.5446667,107.5446667,35.84822222,19.533,99.115,19.533,94.20381972,14.13057296,56.52229183,162.39,39.60915,4.710190986,18.84076394,37.68152789
